,multi_sample_binning/S3.bam_cov
S2:k115_7927,0.002342309210378776
S2:k115_4676,0.009394323298074315
S2:k115_3047,1.2030217122141662
S2:k115_7608,0.31967890027591644
S2:k115_9274,0.0131952879944483
S2:k115_8440,0.30631341880341884
S2:k115_3786,0.0029397716501507972
S2:k115_919,0.005109195283244362
S2:k115_9277,0.028227054263565893
S2:k115_4700,0.012332528797214037
S2:k115_5073,0.012876817155756207
S2:k115_930,0.2729996907216495
S2:k115_4257,0.008049492242595204
S2:k115_9656,0.9812540471829437
S2:k115_6692,0.026085362825668822
S2:k115_268,0.14097916299559474
S2:k115_4716,0.04336004423473902
S2:k115_9284,0.00959215519949733
S2:k115_5508,0.0076371779441606604
S2:k115_8807,0.03651819406133377
S2:k115_2232,0.002209967164669184
S2:k115_7134,0.010828837505303352
S2:k115_8475,0.015234358974358974
S2:k115_3829,0.01484216237314598
S2:k115_583,0.050197693814264734
S2:k115_4743,0.02125749224876892
S2:k115_1366,0.005815637358014303
S2:k115_9298,0.01247591351772497
S2:k115_6719,0.027539582226515334
S2:k115_6731,0.26065227035100824
S2:k115_3479,0.013059437653729886
S2:k115_9691,0.006965715279387896
S2:k115_1747,0.011779026592992004
S2:k115_7953,0.00534438149250379
S2:k115_6343,0.012568339474330632
S2:k115_4771,0.01784598788995656
S2:k115_6356,0.008851234010534236
S2:k115_3114,0.041267367387033405
S2:k115_960,0.003352651054596634
S2:k115_363,0.6131905157593123
S2:k115_9349,0.02487874827300359
S2:k115_6359,0.011537693912279738
S2:k115_3120,0.007881821664925112
S2:k115_2566,0.003985616220514179
S2:k115_6753,0.008728308447740253
S2:k115_8534,0.012513361118580263
S2:k115_9358,0.011265679471292854
S2:k115_4807,0.002966917708980159
S2:k115_9693,0.012645437096100054
S2:k115_1399,0.007628396719466109
S2:k115_3924,0.02676438596491228
S2:k115_8040,0.03955802259887006
S2:k115_1807,0.0038456568562366305
S2:k115_1407,0.022148836772983113
S2:k115_2360,0.019585130686241795
S2:k115_4399,0.5531639479488311
S2:k115_3571,0.009230598469032706
S2:k115_682,0.013306494560524951
S2:k115_1812,0.006838662646328485
S2:k115_7287,0.002887517828099587
S2:k115_8929,0.01308261141845137
S2:k115_2569,0.009338211962060045
S2:k115_1076,0.010910745840504877
S2:k115_5203,0.02395575121847849
