,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_7058_2,0.000110828020156477,0.000110828020156477,0.000110828020156477,0.000110828020156477,0.000110828020156477
k115_3754_1,0.00012046762525941199,0.00012046762525941199,0.00012046762525941199,0.00012046762525941199,0.00012046762525941199
k115_3754_2,1.7295375037058e-05,1.7295375037058e-05,1.7295375037058e-05,1.7295375037058e-05,1.7295375037058e-05
k115_1723_1,4.3083021706425e-05,4.3083021706425e-05,4.3083021706425e-05,4.3083021706425e-05,4.3083021706425e-05
k115_1723_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9590_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9590_2,0.00020320331777469398,0.00020320331777469398,0.00020320331777469398,0.00020320331777469398,0.00020320331777469398
k115_888_1,5.3911659192825e-05,5.3911659192825e-05,5.3911659192825e-05,5.3911659192825e-05,5.3911659192825e-05
k115_888_2,3.341197950032e-05,3.341197950032e-05,3.341197950032e-05,3.341197950032e-05,3.341197950032e-05
k115_2561_1,0.000109456014580801,0.000109456014580801,0.000109456014580801,0.000109456014580801,0.000109456014580801
k115_2561_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7564_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7564_2,0.000553922152886115,0.000553922152886115,0.000553922152886115,0.000553922152886115,0.000553922152886115
k115_6263_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6263_2,0.00019523865114686698,0.00019523865114686698,0.00019523865114686698,0.00019523865114686698,0.00019523865114686698
k115_5496_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5496_2,0.003667583478131729,0.003667583478131729,0.003667583478131729,0.003667583478131729,0.003667583478131729
k115_7065_1,0.00032870679720909296,0.00032870679720909296,0.00032870679720909296,0.00032870679720909296,0.00032870679720909296
k115_7065_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3035_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3035_2,0.000503302195791399,0.000503302195791399,0.000503302195791399,0.000503302195791399,0.000503302195791399
k115_8749_1,0.000100906451612903,0.000100906451612903,0.000100906451612903,0.000100906451612903,0.000100906451612903
k115_8749_2,8.9044231966556e-05,8.9044231966556e-05,8.9044231966556e-05,8.9044231966556e-05,8.9044231966556e-05
k115_505_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_505_2,0.000229195074455899,0.000229195074455899,0.000229195074455899,0.000229195074455899,0.000229195074455899
k115_6271_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6271_2,0.00022081636011616598,0.00022081636011616598,0.00022081636011616598,0.00022081636011616598,0.00022081636011616598
k115_4676_1,0.000123784496039926,0.000123784496039926,0.000123784496039926,0.000123784496039926,0.000123784496039926
k115_4676_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7608_1,0.002652839456050453,0.002652839456050453,0.002652839456050453,0.002652839456050453,0.002652839456050453
k115_7608_2,0.00260159783208514,0.00260159783208514,0.00260159783208514,0.00260159783208514,0.00260159783208514
k115_8440_1,0.00044668119658119597,0.00044668119658119597,0.00044668119658119597,0.00044668119658119597,0.00044668119658119597
k115_8440_2,0.007493689743589743,0.007493689743589743,0.007493689743589743,0.007493689743589743,0.007493689743589743
k115_3786_1,0.00010264200775527701,0.00010264200775527701,0.00010264200775527701,0.00010264200775527701,0.00010264200775527701
k115_3786_2,0.000158652348125807,0.000158652348125807,0.000158652348125807,0.000158652348125807,0.000158652348125807
k115_5073_1,0.00025517900677200897,0.00025517900677200897,0.00025517900677200897,0.00025517900677200897,0.00025517900677200897
k115_5073_2,0.000252921670428893,0.000252921670428893,0.000252921670428893,0.000252921670428893,0.000252921670428893
k115_9656_1,0.006598869050410317,0.006598869050410317,0.006598869050410317,0.006598869050410317,0.006598869050410317
k115_9656_2,0.014052847252747254,0.014052847252747254,0.014052847252747254,0.014052847252747254,0.014052847252747254
k115_6692_1,2.9825476481902003e-05,2.9825476481902003e-05,2.9825476481902003e-05,2.9825476481902003e-05,2.9825476481902003e-05
k115_6692_2,0.000179764276971498,0.000179764276971498,0.000179764276971498,0.000179764276971498,0.000179764276971498
k115_5508_1,2.1559227467811e-05,2.1559227467811e-05,2.1559227467811e-05,2.1559227467811e-05,2.1559227467811e-05
k115_5508_2,5.3279082894060996e-05,5.3279082894060996e-05,5.3279082894060996e-05,5.3279082894060996e-05,5.3279082894060996e-05
k115_8807_1,0.00020133336579032697,0.00020133336579032697,0.00020133336579032697,0.00020133336579032697,0.00020133336579032697
k115_8807_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8475_1,0.000724458974358974,0.000724458974358974,0.000724458974358974,0.000724458974358974,0.000724458974358974
k115_8475_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_583_1,0.00034937370654480095,0.00034937370654480095,0.00034937370654480095,0.00034937370654480095,0.00034937370654480095
k115_583_2,0.000866755785865839,0.000866755785865839,0.000866755785865839,0.000866755785865839,0.000866755785865839
k115_4743_1,9.129095385737701e-05,9.129095385737701e-05,9.129095385737701e-05,9.129095385737701e-05,9.129095385737701e-05
k115_4743_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1366_1,9.601922591501799e-05,9.601922591501799e-05,9.601922591501799e-05,9.601922591501799e-05,9.601922591501799e-05
k115_1366_2,8.003268826251501e-05,8.003268826251501e-05,8.003268826251501e-05,8.003268826251501e-05,8.003268826251501e-05
k115_299_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_299_2,0.00038141041890440297,0.00038141041890440297,0.00038141041890440297,0.00038141041890440297,0.00038141041890440297
k115_6731_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6731_2,0.004534694325535092,0.004534694325535092,0.004534694325535092,0.004534694325535092,0.004534694325535092
k115_7672_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7672_2,0.00029628082618862,0.00029628082618862,0.00029628082618862,0.00029628082618862,0.00029628082618862
k115_3479_1,0.000142801565961921,0.000142801565961921,0.000142801565961921,0.000142801565961921,0.000142801565961921
